Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Trans/Form/Ação,http://www.scielo.br/scielo.php/script_sci_serial/pid_0101-3173/lng_en/nrm_iso,,0101-3173,1980-539X,,,CC BY-NC
Revista Brasileira de Ciências do Esporte,http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-3289&lng=en&nrm=iso,,0101-3289,2179-3255,,,
Novos Estudos Cebrap,http://www.scielo.br/scielo.php/script_sci_serial/pid_0101-3300/lng_en/nrm_iso,,0101-3300,,,,CC BY-NC
Letras de Hoje,http://revistaseletronicas.pucrs.br/fale/ojs/index.php/fale,"Letras de Hoje: Estudos e Debates em Linguística, Literatura e Língua Portuguesa",0101-3335,1984-7726,,,CC BY
Estudos Ibero Americanos,http://revistaseletronicas.pucrs.br/iberoamericana/ojs/index.php/iberoamericana,,0101-4064,1980-864X,,,CC BY
Estudos Econômicos,http://www.scielo.br/scielo.php/script_sci_serial/pid_0101-4161/lng_en/nrm_iso,,0101-4161,1980-5357,,,CC BY-NC
Educação,http://revistaseletronicas.pucrs.br/faced/ojs/index.php/faced,,0101-465X,1981-2582,,,CC BY
Anais do Museu Paulista,http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-4714&lng=en&nrm=iso,Anais do Museu Paulista: História e Cultura Material,0101-4714,,,,
Ilha do Desterro ,http://www.periodicos.ufsc.br/index.php/desterro,"A Journal of English Language, Literatures in English and Cultural Studies",0101-4846,2175-8026,,,CC BY-NC-ND
Archives of Clinical Psychiatry,http://www.archivespsy.com/,,0101-6083,1806-938X,,http://www.scielo.br/statjournal.php?lang=es&issn=0101-6083,CC BY-NC
Serviço Social & Sociedade,http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-6628&lng=en&nrm=iso,,0101-6628,,,,
Boletim Goiano de Geografia,http://revistas.ufg.br/index.php/bgg,BGG,0101-708X,1984-8501,,,CC BY-NC
Inter-Ação,http://www.revistas.ufg.br/index.php/interacao,,0101-7136,1981-8416,,,CC BY-NC
Revista da Faculdade de Direito da UFG,http://www.revistas.ufg.br/index.php/revfd/index,,0101-7187,,,,CC BY
Educação & Sociedade,http://www.scielo.br/scielo.php/script_sci_serial/pid_0101-7330/lng_en/nrm_iso,,0101-7330,1678-4626,,,CC BY-NC
Pesquisa Operacional,http://www.scielo.br/scielo.php/script_sci_serial/pid_0101-7438/lng_en/nrm_iso,,0101-7438,1678-5142,,,CC BY-NC
Boletim Gaùcho de Geografia,http://seer.ufrgs.br/bgg,BGG,0101-7888,2357-9447,,,CC BY
Educação : Revista do Centro de Educação UFSM,http://cascavel.ufsm.br/revistas/ojs-2.2.2/index.php/reveducacao,Educação (UFSM),0101-9031,1984-6444,,,CC BY
História,http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-9074&lng=en&nrm=iso,,0101-9074,1980-4369,,,CC BY-NC
Sequência: Estudos Juridicos e Politicos,http://periodicos.ufsc.br/index.php/sequencia,Seqüência,0101-9562,2177-7055,,https://periodicos.ufsc.br/index.php/sequencia/about/editorialPolicies#custom-2,CC BY
Anuário do Instituto de Geociências,http://www.anuario.igeo.ufrj.br/,,0101-9759,1982-3908,,,
Revista Brasileira de História,http://www.scielo.br/scielo.php/script_sci_serial/pid_0102-0188/lng_pt/nrm_iso,RBH,0102-0188,1806-9347,,,CC BY-NC
Horticultura Brasileira,http://www.scielo.br/scielo.php/script_sci_serial/pid_0102-0536/lng_en/nrm_iso,,0102-0536,,,,CC BY-NC
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-0935&lng=en&nrm=iso,Brazilian Journal of Veterinary and Animal Sciences,0102-0935,1678-4162,,,CC BY-NC
Revista de Homeopatia,http://www.aph.org.br/revista/index.php/aph/index,,0102-227X,2175-3105,,,
Revista Brasileira de Estudos de População,http://www.scielo.br/scielo.php/script_sci_serial/pid_0102-3098/lng_en/nrm_iso,,0102-3098,,,,CC BY-NC
Cadernos de Saúde Pública,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-311X&lng=en&nrm=iso,CSP,0102-311X,1678-4464,,,CC BY-NC
Acta Botânica Brasílica,http://www.scielo.br/scielo.php/script_sci_serial/lng_pt/pid_0102-3306/nrm_iso,,0102-3306,1677-941X,,,CC BY-NC
Revista Brasileira de Ortopedia,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-3616&lng=en&nrm=iso,,0102-3616,1982-4378,Yes,http://www.scielo.br/applications/scielo-org/pages/services/articleRequestGraphicPage.php?pid=S0102-36162015000200232&caller=www.scielo.br&lang=pt,CC BY-NC-ND
BIBLOS : Revista do Instituto de Ciências Humanas e da Informação,http://www.seer.furg.br/index.php/biblos/about/index,BIBLOS : Revista do Instituto de Ciencias Humanas & da Informacao,0102-4388,2236-7594,,,
DELTA : Documentação de Estudos em Lingüística Teórica e Aplicada,http://www.scielo.br/scielo.php?pid=0102-4450&script=sci_serial,,0102-4450,1678-460X,,,CC BY-NC
Educação em Revista,http://www.scielo.br/scielo.php?script=sci_serial&lng=pt&pid=0102-4698&nrm=iso,,0102-4698,1982-6621,,,CC BY-NC
Revista Brasileira de Ensino de Física,http://www.scielo.br/scielo.php?script=sci_serial&pid=1806-1117&lng=en&nrm=iso,,0102-4744,,,,
O Eixo e a Roda: Revista de Literatura Brasileira,http://www.periodicos.letras.ufmg.br/index.php/o_eixo_ea_roda/index,,0102-4809,2358-9787,,,CC BY-NC-ND
Boletim de Geografia,http://www.periodicos.uem.br/ojs/index.php/BolGeogr/,,0102-5198,2176-4786,,,CC BY
Perspectiva,https://periodicos.ufsc.br/index.php/perspectiva,,0102-5473,2175-795X,,,
Organon,http://seer.ufrgs.br/organon,,0102-6267,2238-8915,,,CC BY
Lua Nova : Revista de Cultura e Política,http://www.scielo.br/scielo.php?script=sci_serial&lng=en&pid=0102-6445&nrm=iso,,0102-6445,,,,CC BY-NC
ABCD: Arquivos Brasileiros de Cirurgia Digestiva,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-6720&lng=en&nrm=iso,Brazilian Archives of Digestive Surgery,0102-6720,,Yes,http://www.scielo.br/statjournal.php?lang=en&issn=0102-6720,CC BY
Revista Brasileira de Ciências Sociais,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-6909&lng=en&nrm=iso,,0102-6909,,,,CC BY-NC
Revista Gaúcha de Enfermagem ,http://www.scielo.br/scielo.php?script=sci_serial&pid=1983-1447&lng=en&nrm=iso,Revista Gaucha de Enfermagem ,0102-6933,1983-1447,,,CC BY-NC
Revista Brasileira de Farmacognosia,http://www.scielo.br/scielo.php/script_sci_serial/pid_0102-695X/lng_en/nrm_iso,,0102-695X,1981-528X,,,CC BY-NC
Sociedade e Estado,http://www.scielo.br/scielo.php/script_sci_serial/pid_0102-6992/lng_en/nrm_iso,Sociedade & Estado,0102-6992,,,,CC BY-NC
Psicologia & Sociedade,http://www.scielo.br/scielo.php?pid=0102-7182&script=sci_serial,,0102-7182,1807-0310,,,CC BY-NC
Revista Brasileira de Cirurgia Cardiovascular,http://www.scielo.br/scielo.php?pid=0102-7638&script=sci_serial,Brazilian Journal of Cardiovascular Surgery,0102-7638,1678-9741,,,CC BY-NC
Revista Brasileira de Meteorologia,http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-7786&lng=en&nrm=iso,,0102-7786,1982-4351,,,CC BY-NC
Psicologia : Reflexão e Crítica,http://www.scielo.br/scielo.php?pid=0102-7972&script=sci_serial,Psychology : Reflection and Criticism,0102-7972,1678-7153,,,CC BY-NC
Contexto Internacional,http://www.scielo.br/scielo.php?script=sci_serial&lng=pt&pid=0102-8529&nrm=iso,,0102-8529,1982-0240,,,CC BY-NC
Acta Cirurgica Brasileira,http://www.scielo.br/scielo.php/script_sci_serial/lng_en/pid_0102-8650/nrm_iso,,0102-8650,,,,CC BY-NC
Revista Odonto Ciência,http://revistaseletronicas.pucrs.br/fo/ojs/index.php/fo,Journal of Dental Science,0102-9460,1980-6523,,,CC BY
Revista Paulista de Pediatria,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-0582&lng=en&nrm=iso,,0103-0582,1984-0462,,,CC BY-NC
Verso e Reverso,http://revistas.unisinos.br/index.php/versoereverso/index,Verso & Reverso,0103-1414,1806-6925,,,
Geografia Ensino & Pesquisa,http://cascavel.cpd.ufsm.br/revistas/ojs-2.2.2/index.php/geografia/index,Geografia Ensino e Pesquisa,0103-1538,2236-4994,,,
Biotemas,http://www.biotemas.ufsc.br/,,0103-1643,2175-7925,,,
Estudos de Psicologia (Campinas),http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-166X&lng=en&nrm=iso,,0103-166X,1982-0275,,,CC BY-NC
Trabalhos em Lingüística Aplicada,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-1813&lng=en&nrm=iso,,0103-1813,,,,CC BY-NC
Revista de Economia e Sociologia Rural,http://www.scielo.br/resr,,0103-2003,1806-9479,,,CC BY-NC
Tempo Social,http://www.scielo.br/scielo.php/script_sci_serial/pid_0103-2070/lng_en/nrm_iso,,0103-2070,1809-4554,,,CC BY-NC
Acta Paulista de Enfermagem,http://www.scielo.br/scielo.php/script_sci_serial/pid_0103-2100/lng_en/nrm_iso,,0103-2100,,,,CC BY-NC
Caligrama: Revista de Estudos Românicos,http://periodicos.letras.ufmg.br/index.php/caligrama,,0103-2178,2238-3824,,,CC BY
Estudos Históricos,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-2186&lng=en&nrm=iso,Estudos Historicos,0103-2186,2178-1494,,,
Revista do Instituto Florestal,http://iflorestal.sp.gov.br/publicacoes-if/revista-do-if/,,0103-2674,2178-5031,,,CC BY-NC
Teocomunicação,http://revistaseletronicas.pucrs.br/teo/ojs/index.php/teo,Teocomunicação: Revista da Teologia da PUCRS,0103-314X,1980-6736,,,CC BY
Linha D'Água,http://www.revistas.usp.br/linhadagua,,0103-3638,2236-4242,Yes,http://www.revistas.usp.br/linhadagua/article/view/83770,CC BY-NC
Revista da Educação Física/UEM,http://periodicos.uem.br/ojs/index.php/RevEducFis,Revista da Educação física Universidade Estadual de Maringá,0103-3948,1983-3083,,,CC BY-NC
Estudos Avançados,http://www.scielo.br/scielo.php?pid=0103-4014&script=sci_serial,,0103-4014,1806-9592,,,CC BY-NC
Alimentos e Nutrição ,http://serv-bib.fcfar.unesp.br/seer/index.php/alimentos,Brazilian Journal of Food and Nutrition,0103-4235,2179-4448,,,CC BY
Caderno CRH,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-4979&lng=en&nrm=iso,,0103-4979,,,,CC BY-NC
Revista brasileira de terapia intensiva ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-507X&lng=en&nrm=iso,,0103-507X,1982-4335,,,CC BY-NC
Brazilian Neurosurgery ,http://www.thieme.com/bns,Arquivos Brasileiros de Neurocirurgia ,0103-5355,2359-5922,,http://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00028832 ,CC BY-NC-ND
Psico,http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico,,0103-5371,1980-8623,,,CC BY
Psicologia Clínica,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-5665&lng=en&nrm=iso,,0103-5665,1980-5438,,,
Nova Economia,http://revistas.face.ufmg.br/index.php/novaeconomia/index,,0103-6351,,,,
Bolema : Boletim de Educação Matemática,http://www.periodicos.rc.biblioteca.unesp.br/index.php/bolema/index,Bolema : Mathematics Education Bulletin ,0103-636X,1980-4415,,,CC BY-NC-ND
Produção,http://www.scielo.br/scielo.php/script_sci_serial/pid_0103-6513/lng_en/nrm_iso,,0103-6513,,Yes,http://www.scielo.br/statjournal.php?lang=en&issn=0103-6513,CC BY-NC
Psicologia USP ,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-6564&lng=en&nrm=iso,Psicologia Universidade de São Paulo,0103-6564,1678-5177,,,CC BY-NC
RGO : Revista Gaúcha de Odontologia,http://www.revistargo.com.br/index.php,,0103-6971,1981-8637,,,
Pro-Posições,http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-7307&lng=en&nrm=iso,,0103-7307,,,,CC BY-NC
PHYSIS,http://www.scielo.br/scielo.php/script_sci_serial/lng_pt/pid_0103-7331/nrm_iso,,0103-7331,,,,CC BY-NC
Caderno de Geografia,http://periodicos.pucminas.br/index.php/geografia/index,,0103-8427,2318-2962,,,CC BY-NC
Revista Brasileira de Parasitologia Veterinária,http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-2961&lng=en&nrm=iso,Brazilian Journal of Veterinary Parasitology,0103-846X,1984-2961,,,
Ciência Rural,http://www.scielo.br/scielo.php?pid=0103-8478&script=sci_serial,,0103-8478,1678-4596,,,CC BY-NC
Paidéia (Ribeirão Preto),http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-863X&lng=en&nrm=iso,,0103-863X,1982-4327,,,CC BY-NC
Reflexão & Ação,http://online.unisc.br/seer/index.php/reflex/index,Reflexao e Acao,0103-8842,1982-9949,,,CC BY
Scientia Agricola,http://www.scielo.br/sa,,0103-9016,1678-992X,,,CC BY-NC
Boletim do Museu de Biologia Mello Leitão,http://www.boletimmbml.net/boletim/index.php/boletim_mbml,,0103-9121,2318-9444,,,CC BY
Papia : Revista Brasileira de Estudos Crioulos e Similares,http://revistas.fflch.usp.br/papia,,0103-9415,,,,
Ciência Florestal,http://cascavel.ufsm.br/revistas/ojs-2.2.2/index.php/cienciaflorestal,,0103-9954,1980-5098,,,
Infarma: Pharmaceutical Sciences,http://revistas.cff.org.br/?journal=infarma,Infarma,0104-0219,2318-9312,,,CC BY
Revista Estudos Feministas,http://www.scielo.br/scielo.php/script_sci_serial/pid_0104-026X/lng_pt/nrm_iso,,0104-026X,,,,CC BY-NC
Revista de Cultura Teologica,http://revistas.pucsp.br/index.php/culturateo/issue/current,,0104-0529,2317-4307,Yes,http://revistas.pucsp.br/index.php/culturateo/about/statistics,CC BY
Revista de Estudos da Linguagem,http://periodicos.letras.ufmg.br/index.php/relin,,0104-0588,2237-2083,,,
Economia e Sociedade,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-0618&lng=en&nrm=iso,,0104-0618,1982-3533,,,CC BY-NC
Revista Latino-Americana de Enfermagem,http://www.scielo.br/rlae,,0104-1169,1518-8345,,,CC BY-NC
Revista Brasileira de Crescimento e Desenvolvimento Humano,http://www.journals.usp.br/jhgd,Brazilian Journal of Human Growth and Development,0104-1282,2175-3598,,,
Saúde e Sociedade,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-1290&lng=pt&nrm=iso,,0104-1290,1984-0470,,,CC BY-NC
Polímeros,http://www.scielo.br/scielo.php/script_sci_serial/pid_0104-1428/lng_pt/nrm_iso,,0104-1428,1678-5169,,,
Revista da Faculdade de Direito UFPR,http://ojs.c3sl.ufpr.br/ojs/index.php/direito/index,,0104-3315,2236-7284,,,CC BY
Ensino em Re-vista,http://www.seer.ufu.br/index.php/emrevista,,0104-3757,1983-1730,,,
Ensaio,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-4036&lng=en&nrm=iso,,0104-4036,,,,CC BY-NC
Educar em Revista,http://ojs.c3sl.ufpr.br/ojs2/index.php/educar/issue/view/2010,,0104-4060,,,,CC BY
Revista da Associação Médica Brasileira,http://www.scielo.br/scielo.php/script_sci_serial/pid_0104-4230/lng_pt/nrm_iso,,0104-4230,1806-9282,,,
Roteiro,http://editora.unoesc.edu.br/index.php/roteiro/index,,0104-4311,2177-6059,,,CC BY-NC-ND
Revista de Sociologia e Política,http://www.scielo.br/rsocp,,0104-4478,1678-9873,,,CC BY-NC
Cadernos de Terapia Ocupacional,http://www.cadernosdeterapiaocupacional.ufscar.br/,Journal of Occupational Therapy,0104-4931,2238-2860,,,CC BY-NC-ND
Gestão & Produção,http://www.scielo.br/scielo.php?pid=0104-530X&script=sci_serial,,0104-530X,1806-9649,,,CC BY-NC
Revista de Geografia (Recife),http://www.revista.ufpe.br/revistageografia/index.php/revista,,0104-5490,2238-6211,,,
Paisagem e Ambiente,http://www.revistas.usp.br/paam/,Paisagem e Ambiente: Ensaios,0104-6098,2359-5361,Yes,http://www.revistas.usp.br/paam/article/view/97121/96197,CC BY-NC-SA
Opinião Pública,http://www.scielo.br/op,,0104-6276,1807-0191,,,CC BY-NC
Nauplius,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-6497&lng=en&nrm=iso,,0104-6497,2358-2936,Yes,http://www.scielo.br/statjournal.php?lang=en&issn=0104-6497,CC BY
Journal of the Brazilian Computer Society ,http://www.journal-bcs.com,,0104-6500,1678-4804,Yes,http://www.journal-bcs.com/mostviewed,CC BY
Brazilian Journal of Chemical Engineering,http://www.scielo.br/scielo.php?pid=0104-6632&script=sci_serial,,0104-6632,1678-4383,,,CC BY-NC
Horizontes Antropológicos,http://www.scielo.br/scielo.php/script_sci_serial/lng_pt/pid_0104-7183/nrm_iso,,0104-7183,1806-9983,,,CC BY-NC
Cerne,http://cerne.ufla.br/ojs/index.php/CERNE,Revista Cerne,0104-7760,,,,CC BY
Cadernos Pagu,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-8333&lng=en&nrm=iso,,0104-8333,,,,CC BY-NC
Comunicações,https://www.metodista.br/revistas/revistas-unimep/index.php/comunicacao/index,,0104-8481,2238-121X,,https://www.metodista.br/revistas/revistas-unimep/index.php/comunicacao/about/statistics,CC BY
Varia História,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-8775&lng=en&nrm=iso,,0104-8775,1982-4343,,,CC BY-NC
Sæculum : Revista de História,http://periodicos.ufpb.br/ojs2/index.php/srh/index,,0104-8929,2317-6725,,,
Soldagem & Inspeção,http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-9224&lng=en&nrm=iso,Soldagem e Inspecao,0104-9224,1980-6973,,,CC BY-NC
Mana,http://www.scielo.br/mana,,0104-9313,1678-4944,,,CC BY-NC
Logos,http://www.e-publicacoes.uerj.br/index.php/logos,,0104-9933,1982-2391,,,CC BY-NC-SA
Science Diliman,http://journals.upd.edu.ph/index.php/sciencediliman,,0115-7809,2012-0818,,,
Revista Facultad de Medicina de la Universidad Nacional de Colombia,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-0011&lng=pt&nrm=iso,,0120-0011,,,,CC BY
Ideas y Valores : Revista Colombiana de Filosofía,http://www.ideasyvalores.unal.edu.co,,0120-0062,,,,
Boletín de Geología,http://revistas.uis.edu.co/index.php/revistaboletindegeologia,,0120-0283,2145-8553,,,CC BY-ND
Revista Latinoamericana de Psicología,http://www.redalyc.org/revista.oa?id=805,,0120-0534,,,,
Colombia Forestal,http://revistas.udistrital.edu.co/ojs/index.php/colfor,,0120-0739,2256-201X,,,CC BY-NC-ND
Revista Interamericana de Bibliotecología,http://aprendeenlinea.udea.edu.co/revistas/index.php/RIB,,0120-0976,,,,
Franciscanum : Revista de las Ciencias del Espíritu,http://revistas.usbbog.edu.co/index.php/Franciscanum,,0120-1468,,,,
Revista Colombiana de Sociología,http://www.revistas.unal.edu.co/index.php/recs,,0120-159X,2256-5485,,,CC BY
Anuario Colombiano de Historia Social y de la Cultura,http://www.revista.unal.edu.co/index.php/achsc,,0120-2456,,,,CC BY
Revista Colombiana de Química,http://www.revista.unal.edu.co/index.php/rcolquim,,0120-2804,,,,CC BY
Acta Agronómica,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-2812&lng=en&nrm=iso,,0120-2812,,,,CC BY
Revista de la Facultad de Medicina Veterinaria y de Zootecnia,http://www.revistas.unal.edu.co/index.php/remevez/index,Revista de la Facultad de Medicina Veterinaria & de Zootecnia,0120-2952,,,,
Maguaré,http://www.revistas.unal.edu.co/index.php/maguare,,0120-3045,2256-5752,,,CC BY
Apuntes del CENES,http://revistas.uptc.edu.co/revistas/index.php/cenes/index,,0120-3053,2256-5779,,,CC BY-NC
Forma y Función,http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-338X&lng=en&nrm=iso,,0120-338X,,,,CC BY
Boletín de Ciencias de la Tierra,http://revistas.unal.edu.co/index.php/rbct,,0120-3630,,,,CC BY
Revista Facultad Nacional de Salud Pública,http://aprendeenlinea.udea.edu.co/revistas/index.php/fnsp/index,,0120-386X,,,,CC BY-NC-SA
Revista Colombiana de Educación,http://revistas.pedagogica.edu.co/index.php/RCE,,0120-3916,,,,CC BY-NC-ND
Revista Integración,http://revistaintegracion.uis.edu.co,,0120-419X,2145-8472,,,Not CC-like
Revista UNIMAR,http://www.umariana.edu.co/ojs-editorial/index.php/unimar,,0120-4327,2216-0116,,,CC BY
Universitas Humanística,http://universitas-humanistica.javeriana.edu.co/,,0120-4807,2011-2734,,,CC BY-NC-ND
Signo y Pensamiento,http://www.redalyc.org/revista.oa?id=860,,0120-4823,2027-2731,,,
Acta Biológica Colombiana,http://www.revistas.unal.edu.co/index.php/actabiol,,0120-548X,1900-1649,Yes,http://www.revistas.unal.edu.co/index.php/actabiol/article/view/43776,CC BY-NC-SA
Medicina,http://revistamedicina.net/ojsanm/index.php/,,0120-5498,2389-8356,,,CC BY-NC-ND
Ingeniería e Investigación,http://www.revistaingenieria.unal.edu.co/,Ingeniería & Investigación,0120-5609,2248-8723,,,CC BY
HOW,http://www.howjournalcolombia.org,,0120-5927,,,,CC BY-NC-ND
Semestre Económico,http://revistas.udem.edu.co/index.php/economico,,0120-6346,2248-4345,,,CC BY-NC
